,20201,20202,20203,20204,20205,20206,20207,20208,20209,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040
11,3442323.0,3442809.8,3442642.0,3442488.0,3443332.2,3443687.2,3443281.5,3443085.5,3442689.2,3442315.5,3443623.0,3443727.8,3442758.2,3443321.0,3443071.8,3443421.0,3443652.5,3443413.5,3442490.0,3443250.0,3443634.2,3443239.8,3443230.0,3443208.8,3442856.0,3443321.5,3443347.0,3443141.2,3442850.5,3442919.0,3443424.5,3443071.5,3443143.8,3443589.0,3442661.2,3443082.5,3443416.2,3443593.2,3443265.2,3442354.0
12,3441710.2,3442296.5,3442098.2,3441897.5,3442926.8,3443321.8,3442835.2,3442606.5,3442148.0,3441719.5,3443243.0,3443369.0,3442234.5,3442884.8,3442602.8,3443009.5,3443286.8,3443001.0,3441904.0,3442810.2,3443264.0,3442797.5,3442791.8,3442760.5,3442343.8,3442888.2,3442918.5,3442689.0,3442349.8,3442414.5,3443015.5,3442598.0,3442682.0,3443213.0,3442120.5,3442609.0,3443000.0,3443218.5,3442835.5,3441749.8
13,3441069.0,3441738.5,3441525.2,3441281.5,3442475.2,3442927.5,3442363.8,3442090.8,3441575.8,3441084.0,3442846.0,3442995.5,3441676.2,3442424.8,3442097.2,3442566.0,3442890.2,3442565.0,3441309.0,3442355.8,3442877.0,3442326.0,3442323.2,3442285.0,3441802.0,3442436.8,3442465.8,3442203.2,3441810.5,3441870.0,3442584.0,3442099.2,3442199.8,3442813.2,3441532.0,3442117.8,3442563.8,3442818.2,3442382.8,3441118.5
14,3440289.5,3441075.8,3440826.0,3440534.5,3441941.5,3442457.8,3441801.0,3441477.0,3440895.0,3440307.2,3442370.0,3442546.8,3440991.5,3441871.2,3441486.5,3442044.5,3442423.8,3442046.5,3440570.0,3441793.2,3442394.5,3441771.0,3441760.8,3441710.2,3441134.0,3441880.8,3441921.5,3441613.0,3441149.5,3441216.8,3442063.8,3441501.5,3441623.8,3442327.8,3440815.2,3441512.0,3442034.5,3442324.8,3441825.0,3440342.8
15,3439534.0,3440432.5,3440155.5,3439812.2,3441419.0,3442006.0,3441258.8,3440883.5,3440235.5,3439546.8,3441901.8,3442115.5,3440325.0,3441348.2,3440894.0,3441529.0,3441973.5,3441543.8,3439848.8,3441256.2,3441932.2,3441231.8,3441229.5,3441154.2,3440486.8,3441353.8,3441399.2,3441041.2,3440511.8,3440587.2,3441558.0,3440922.0,3441057.5,3441863.2,3440118.2,3440925.2,3441521.2,3441857.5,3441297.8,3439594.5
16,3438860.0,3439857.2,3439554.0,3439155.0,3440951.2,3441599.2,3440766.8,3440365.8,3439641.5,3438881.5,3441466.5,3441737.2,3439722.2,3440856.5,3440372.2,3441058.5,3441568.5,3441092.2,3439207.5,3440766.5,3441528.2,3440753.0,3440740.8,3440651.0,3439913.2,3440889.2,3440931.2,3440522.8,3439941.5,3440021.2,3441106.2,3440399.0,3440545.2,3441447.2,3439502.5,3440411.8,3441056.5,3441438.5,3440820.2,3438918.2
17,3438192.8,3439286.2,3438947.5,3438507.5,3440491.5,3441199.2,3440270.2,3439849.8,3439059.5,3438211.5,3441061.2,3441361.5,3439136.2,3440378.2,3439855.8,3440599.2,3441163.8,3440646.2,3438574.5,3440287.8,3441133.5,3440287.5,3440269.8,3440150.8,3439360.2,3440424.2,3440459.8,3440013.8,3439385.2,3439466.0,3440666.5,3439884.5,3440057.5,3441033.5,3438890.0,3439894.8,3440590.5,3441018.5,3440348.5,3438259.8
18,3437418.5,3438639.5,3438262.8,3437776.5,3439967.2,3440751.2,3439724.5,3439260.0,3438400.8,3437461.0,3440588.2,3440930.5,3438469.8,3439837.5,3439262.8,3440087.5,3440719.2,3440136.5,3437851.8,3439751.0,3440676.8,3439744.2,3439735.0,3439590.2,3438715.5,3439908.8,3439941.2,3439433.5,3438744.0,3438831.2,3440165.0,3439310.0,3439494.0,3440574.2,3438197.0,3439315.0,3440066.5,3440536.8,3439810.8,3437503.0
19,3436583.5,3437954.0,3437535.2,3436988.0,3439403.5,3440268.0,3439137.5,3438619.5,3437688.0,3436642.8,3440091.2,3440472.2,3437765.8,3439275.5,3438621.5,3439527.8,3440241.2,3439580.2,3437081.2,3439175.2,3440192.2,3439162.5,3439158.0,3438977.2,3438021.5,3439348.0,3439387.2,3438822.2,3438060.0,3438149.8,3439634.0,3438677.2,3438895.5,3440077.5,3437434.2,3438689.8,3439503.2,3440034.8,3439228.0,3436679.2
20,3435657.2,3437183.5,3436714.0,3436113.8,3438784.2,3439750.2,3438480.2,3437895.2,3436915.8,3435723.0,3439540.8,3439963.0,3436971.0,3438640.2,3437918.0,3438919.8,3439706.2,3438980.2,3436215.2,3438536.0,3439651.2,3438510.8,3438520.2,3438303.8,3437261.0,3438723.8,3438775.0,3438145.2,3437290.8,3437382.2,3439051.0,3437981.8,3438235.8,3439532.0,3436596.2,3437997.0,3438889.8,3439476.5,3438600.0,3435782.0
